Name,Title,aiconalt,View,State,View1,asizebase
Tanmay,Worst product from a reputed brand,1.0 out of 5 stars,Reviewed in India on 28 December 2020,Verified Purchase,"------BEWARE!------
I was in need of a hand mixer, As i trust Philips brand i had purchased this hand blender. I bought it two months back, and have used it only two times. Yesterday while using it fumes started coming out of the machine and it stopped working abruptly. I had contacted amazon regarding this issue. They redirected me to the Philips brand and asked me to contact them. I was given an assurance by Philips they will contact me (Still waiting !).",100 people found this helpful
🙂,Nice product,5.0 out of 5 stars,Reviewed in India on 6 November 2018,Verified Purchase,"Its a good product . But the beater could have been a bit smaller. I would suggest to opt for 200 watt philips beater.Cleaning the beaters are a bit annoying as no batter is to be left in the joint for a long life. If you are continuosly beating for more than 20 min, your hand might start to ache. But overall its a nice product.",190 people found this helpful
Ankita,Excellent,5.0 out of 5 stars,Reviewed in India on 14 February 2019,Verified Purchase,Product is gud. I made this cake at home. It's so fluffy just like a market cake. People can  by this product without any hesitation.,162 people found this helpful
Yoda,What else do you expect for 2000 bucks??,4.0 out of 5 stars,Reviewed in India on 2 February 2021,Verified Purchase,"Quarantine made me a home chef overnight. So searched this up because I was too lazy a bum to knead dough for that stupid focaccia bread. Of course it was out of stock. After months of googling ""philips hand blender online india"" surprisingly I found this in stock. But my happiness was too fickle like a burning candle in the wind. The kneading hooks are just like my friends. Useless. The blending hooks works well nevertheless.",57 people found this helpful
Sangeeta Joshi,Handy and functional,4.0 out of 5 stars,Reviewed in India on 30 October 2018,Verified Purchase,"It is a good hand-held mixer in the medium-sized range. Not heavy duty, but functions adequately for batches of 1-2 cups at a time. Does not heat up when mixing 1-2 cups (baking measurements).",113 people found this helpful
Shree Vishnu,Worst product,1.0 out of 5 stars,Reviewed in India on 16 July 2019,Verified Purchase,This is the worst product from this brand. The blades dnt withstand even 2 uses.. the blade broke and I had to contact for the warranty where they said only motor is included in warranty hence this cannot be repaired. And after requesting them alot they welded this blade and gave me.. but in the second use after welding too this broke off. Am not able to use this.,80 people found this helpful
Hinakhan,Made in China,2.0 out of 5 stars,Reviewed in India on 24 August 2020,Verified Purchase,"As of now it is good.
But this product is manufactured in China,
Amazon should mentioned the manufacturing place.
How our government is allowing this when they are insisting to use made in India products.",45 people found this helpful
Pranay shah,Very Poor.. Fake product,1.0 out of 5 stars,Reviewed in India on 31 May 2019,Verified Purchase,The blade broke while using it for the first time...I think it is not original Phillips product..I have used this kind of blender but none of the product's blade had been broken..Not worth..I suggest buy from Philips store so u get original products,50 people found this helpful
Rohan Jayavant,Good product,4.0 out of 5 stars,Reviewed in India on 2 July 2019,Verified Purchase,Video Player is loading.,28 people found this helpful
P H Mascarenhas,Waste of money and dangerous,1.0 out of 5 stars,Reviewed in India on 21 December 2020,Verified Purchase,Would seriously advice not to buy this product. It keeps getting over heated after every two-three minutes. Noy safe for children either. It stopped working exactly after three uses. Guaranteed waste of money.,14 people found this helpful
,,,,,,
Kanupriya Goel,Loving it,5.0 out of 5 stars,"Reviewed in India on May 16, 2021",Verified Purchase,Video Player is loading.,13 people found this helpful
vishal verma,Build quality not good for blades,1.0 out of 5 stars,"Reviewed in India on September 5, 2021",Verified Purchase,Video Player is loading.,9 people found this helpful
ayoob,Excellent product with extra power TURBO button,5.0 out of 5 stars,"Reviewed in India on June 9, 2019",Verified Purchase,Product is upto the mark with excellent power... made butterscotch ice cream with this. It has a powerful motor..worth to buy,24 people found this helpful
Tanishq ,Don't buy,1.0 out of 5 stars,"Reviewed in India on May 26, 2021",Verified Purchase,"Very flimsy product. Just after few days of use, the joint of attachment came off. Stuck up during this lock down, else could have approached service center.
Attaching a photo of attachment of similar product, it has given me service for the last 25 year and still going strong.
Recommendation don't buy this product",6 people found this helpful
sneha,Poor in quality,1.0 out of 5 stars,"Reviewed in India on June 7, 2019",Verified Purchase,"I bought this product just a month back, earlier I have used Phillips bitter and with good impression I thought this is going to be good

But it got broke just after a few uses. Mixing bars are very poor quality.

Even return window got closed so I got stuck with this product.",17 people found this helpful
Amazon Customer,This product is not worth,1.0 out of 5 stars,"Reviewed in India on April 3, 2021",Verified Purchase,So bad experience buying this Philips hand mixer. The whisk broke within 14 days since I bought and I used only for whipping aquafaba for 3 to 4 time and this happened. After placing my complain the company just replaced that 1 particular whisk( not pair) and did not give me a refund nor a new piece. I would kindly request not to buy this and do not recommend being a baker,8 people found this helpful
