Ticker,Short Name,ESG Disc Score:Y,Market Cap,Revenue T12M,P/E,Env Disc Sc:Y,Soc Disc Sc:Y,Gov Disc Sc:Y,Sust Gr Rt LF,Cntry of Dom,GICS SubInd,GICS SubInd Name,GICS Sector,Sustainalytics Soc Pctl:D-1,Sustainalytics Environ Pctl:D-1,Debt/Cap LF,% Women on Bd:Y,CEO Duality:Y,DPS LF,EBITA T12M,Total Return:D-1,NI / Profit T12M,LT Brrwng LF,ST Brrwng LF,Total Return YTD,# of Dir on Bd:D-1,Bd Avg Age:Y,Bd Age Limit:Y,% Indep Directors:Y,CEO Duality:Y,% of Non Exec Dir on Bd:D-1,GHG Scope 1:Y,GHG Scope 2:Y,Wtr Intens/Engy Cons:Y,Haz Waste:Y,Total Waste:Y,Tot Wtr Dschgd:Y,% Emp Union:Y,Tot Sal Pd to Execs:Y,Tot Sal & Bns Pd to Execs:Y
AEE US Equity,AMEREN CORP,34.71699905,14313026560,6131000064,22.88906708,33.10340118,17.1875,58.92860031,5.324763775,US,55103010,Multi-Utilities,Utilities,32.5396843,43.65079498,52.10465622,27.27269936,1,0.439999998,1452000000,-0.270498467,615000000,6921999872,1223000064,15.95816684,11,62.90909958,72,90.90910339,1,90.91000366,26795.59961,66.39700317,,,,4099120,53,2671000,2671000
AEP US Equity,AMERICAN ELECTRI,56.22639847,36188008448,15404599808,21.15122265,47.58620071,64.0625,69.64289856,4.945326805,US,55101010,Electric Utilities,Utilities,63.49206161,38.88888931,54.59471893,25,1,0.589999974,3527899904,-0.108624344,1885300032,18362400768,3418599936,20.92868481,12,63.16669846,72,91.66670227,1,91.66999817,99166.60156,11218.09961,,,,6600970,26.90200043,3884000,3884000
AES US Equity,AES CORP,44.62810135,7151986688,14138000128,9.952113996,37.98450089,33.33330154,71.4285965,-12.12365055,US,55105010,Independent Power Producers & Energy Traders,Utilities,61.90476227,38.09523773,75.50978088,20,0,0.119999997,,0.650554771,-768000000,19776000000,2256999936,-2.693485127,10,63.09999847,,90,0,90,70273,306,,,9024.419922,7386000,66,727833,727833
AGR US Equity,AVANGRID INC,38.49060059,15629487104,5921000064,22.82245951,27.58620071,48.4375,55.35710144,-1.541579962,US,55101010,Electric Utilities,Utilities,,,27.47593117,14.28569984,0,0.432000011,1116000000,-0.726200052,665000000,4767000064,998000000,38.56076482,14,60.85710144,,42.85710144,0,92.86000061,,,,,,,47,2111581,2111581
ALDW US Equity,ALON USA PARTNER,,1068626240,2070769984,14.89999843,,,,4.668150902,US,10102030,Oil & Gas Refining & Marketing,Energy,,,33.78520203,,,0.349999994,,-0.291710845,71912000,335624992,2500000,98.4136355,,,,,,,,,,,,,,,
ALE US Equity,ALLETE INC,18.49060059,3795309056,1422900000,23.36535998,6.20690012,17.1875,51.78570175,3.48576808,US,55101010,Electric Utilities,Utilities,,,42.48183823,30,1,0.535000026,262500000,0.067289804,175100000,1444600064,64100000,19.35946073,11,63.59999847,,90,1,90.91000366,,,,,,,27.35000038,1891878,1891878
AM US Equity,ANTERO MIDSTREAM,6.611599922,5419683840,729017984,19.22785384,,,28.57139969,-0.509756029,US,10102040,Oil & Gas Storage & Transportation,Energy,,,41.0329628,0,1,0.340000004,341335000,0.763363022,316510000,1067721984,0,-2.317054322,7,57.875,,75,1,71.43000031,,,,,,,,2635000,5250500
AMGP US Equity,ANTERO MIDSTREAM,,3671508480,45948000,,,,,9.459551811,US,10102040,Oil & Gas Storage & Transportation,Energy,,,0,,,0,,4.118261654,694000,0,0,,,,,,,,,,,,,,,,
AMID US Equity,AMERICAN MIDSTRE,,703336192,622843992,,,,,3.377904892,US,10102040,Oil & Gas Storage & Transportation,Energy,,,57.32398605,,,0.412499994,-75519000,0.75471986,2069000,1057844992,1234000,-18.07642117,,,,,,,,,,,,,,,
AMRC US Equity,AMERESCO INC-A,11.98349953,391330112,680243984,23.51448735,,3.50880003,48.21429825,5.610245228,US,20103010,Construction & Engineering,Industrials,,,38.76750946,12.5,1,0,31511000,1.176475076,16949000,178142000,24155000,56.3636433,8,64.125,,62.5,1,62.5,,,,,,,,1773324,2413324
ANDV US Equity,ANDEAVOR,46.69419861,17836732416,30975000576,19.50090939,41.08530045,49.12279892,57.14289856,8.275165558,US,10102030,Oil & Gas Refining & Marketing,Energy,62.5,15.625,37.79290771,18.18180084,1,0.589999974,,-0.884192326,727000000,7632999936,28000000,33.98932808,12,67.09089661,,90.90910339,1,91.66999817,9890.589844,364.0870056,,4.072700024,60.53639984,25926.90039,33,4580048,4580048
ANDX US Equity,ANDEAVOR LOGISTI,,9982409728,1596000000,21.63117419,,,,-1.206959963,US,10102040,Oil & Gas Storage & Transportation,Energy,,,68.25598145,,,0.971000016,,-0.730711716,375000000,3764999936,0,-2.110689402,,,,,,,,,,,,,,536249,536249
APA US Equity,APACHE CORP,36.92950058,16083397632,5672000000,,28.92560005,28.125,64.28569794,-5.019075871,US,10102020,Oil & Gas Exploration & Production,Energy,78.35051727,40.20618439,50.31435394,18.18180084,0,0.25,,-1.516206502,666000000,7933000192,550000000,-32.13396853,12,60.09090042,75,90.90910339,0,91.66999817,6860,1000,,,,,,3675000,3675000
APC US Equity,ANADARKO PETROLE,23.6515007,29349531648,11433999872,,13.22309971,15.625,55.35710144,,US,10102020,Oil & Gas Exploration & Production,Energy,31.95876312,29.89690781,52.79877853,9.090900421,1,0.050000001,,-0.223212306,-1947000000,15424000000,149000000,-22.76246358,11,59.36360168,,90.90910339,1,90.91000366,,,,,,,,3848654,4248654
APU US Equity,AMERIGAS PARTNER,,4297681920,2453495040,28.06720556,,,,,US,55102010,Gas Utilities,Utilities,,,77.59677887,,,0.949999988,430621992,1.448320939,162059000,2563832064,148447008,4.835747409,,,,,,,,,,,,,,2904161,2904161
AR US Equity,ANTERO RESOURCES,19.42149925,5997017600,3200690944,197.4805645,1.550400019,24.56139946,55.35710144,,US,10102020,Oil & Gas Exploration & Production,Energy,21.64948463,19.58762932,34.97129059,0,1,0,,-2.912619845,-357571008,4510520832,0,-19.66173232,8,60.75,,75,1,75,,,,,,,0,3034999,6724063
ARCH US Equity,ARCH COAL INC-A,20.24790001,2043468672,2340066944,,6.201600075,14.03509998,58.92860031,,US,10102050,Coal & Consumable Fuels,Energy,,,32.32228088,0,0,0.349999994,,-0.064361251,1866718968,312604000,8566000,21.01935738,7,51.42860031,72,85.71430206,0,85.70999908,,,,,,,,3250000,3808986
AROC US Equity,ARCHROCK INC,16.94210052,745664448,779499984,,1.550400019,14.03509998,55.35710144,,US,10101020,Oil & Gas Equipment & Services,Energy,,,66.50826263,25,0,0.119999997,,-0.943399791,-67218000,1392946944,0,-17.08167322,8,59.875,75,87.5,0,87.5,,,,,,,,2120195,2194115
ATO US Equity,ATMOS ENERGY,15.47169971,9530198016,2759734976,23.79224331,3.448299885,10.9375,51.78570175,-3.66802597,US,55102010,Gas Utilities,Utilities,9.756097794,2.439024448,47.41094971,15.38459969,0,0.449999988,727731008,0.350511817,396421000,3067045120,447744992,18.40184382,13,66.69229889,,76.92310333,0,92.30999756,,,,,,,,2882953,2882953
AVA US Equity,AVISTA CORP,16.98110008,3316736512,1450190016,24.7707313,2.758599997,12.5,58.92860031,-32.49304199,US,55103010,Multi-Utilities,Utilities,,,53.56169128,40,1,0.357499987,288694000,-0.135763563,128429000,1543335936,383924000,32.86676356,10,58.09999847,72,90,1,90,,,,,,,45,2282759,2282759
AWK US Equity,AMERICAN WATER W,35.84909821,16319565824,3338000000,32.01828096,18.62070084,57.8125,55.35710144,6.238882065,US,55104010,Water Utilities,Utilities,68.25396729,65.87301636,57.51789856,62.5,0,0.414999992,1213000000,-0.141895742,528000000,6680999936,790000000,29.01909985,7,63.375,75,87.5,0,85.70999908,57.90200043,575.1119995,,,,,46,2685157,2685157
AWR US Equity,AMER STATES WATE,15.09430027,2124091008,443223000,34.44370827,,17.1875,51.78570175,7.359808922,US,55104010,Water Utilities,Utilities,,,41.12467575,44.44440079,0,0.254999995,127394000,0.2249932,67711000,320948992,46333000,29.76485015,9,69,,88.88890076,0,88.88999939,,,,,,,1.90199995,2145175,2406448
AZRE US Equity,AZURE POWER GLOB,,368987808,62394830.06,,,,,,IN,55105020,Renewable Electricity,Utilities,,,70.20960999,,,0,29444977.42,1.428570066,-17491572.57,480124001.9,61899450.95,-16.47058936,,,,,,,,,,,,,,,
