Name,Title,aiconalt,View,State,View1,asizebase
SAM,"It's absolutely not up to mark, don't buy.",1.0 out of 5 stars,Reviewed in India on 11 May 2019,Verified Purchase,"I have been using this machine for 3 wks and have found many fallacies to recommend not to buy it at all.
1. It has a name called BOSCH which is thought to be a class blindly, under this name they have created a poorly engineered craft and fooled their customers.
2.The lids of most jars has a poor design and loose fit that spills substance almost every time it is grinded.Specially liquids at a higher speed...this puts extra burden to clean kitchen desks.

3. The caps provided for ad-ons during processing just have a friction grip rather than a locking grip, so one has to hold it tight to be get a leak proof grinding and mixing.
4.Sounds well above the normal mixing decibels specially at 1000 watts, we can't keep it working for more than 1 minutes for one go.
5. Cost is higher c/f other equivalents.
6.Latch lock of the lids make washing a cumbersome job.It should have been a twist and lock system.
7.Lids have prone-to-break plastic that too aren't available separately.

Good things are
1.Sleek and compact design and nice looking.
2. Option for higher speed and rapid processing.
3.Nice juicing jar that adds taste to juices buy aerating them..

I want to return it back to BOSCH for free to make mine one an experimental piece to better their engineer capabilities wherein people are believing blindly. Review add up after 1.5 years---- I have registered a complain of geting main shaft's plastic breakage repair 1 and half months back but all in vain. No solution have been provided by the company , they just promise for 2 yr warantee but they are not dedicateed for the same, I will say this company don't have anything to do with customer care...Today on 25 April 21, I am still struggling to complain again for repair.This money if I would have lost in theft, I just have had repentance once only,but everyday as I see this machine in my kitchen I literally have started having psychological issues like anger, irritation and frustation.","1,214 people found this helpful"
Prasad Nayak,Seems like a good product going by the brand name but not worth it,2.0 out of 5 stars,Reviewed in India on 5 March 2019,Verified Purchase,"Look wise a good product going by it's brand name. Powerful motor and looks sturdy built. Received the spatula and blunt pounding blade too...though not shown in pictures I uploaded. Height is 48 to 49 cms along with biggest jar when measured.
Although the item received is as described by the seller but I received the Mixer Jar with a broken clip. Must have been damaged during shipping......other wise the mixer is working fine. Planning to stick with a fevikwik instead of going for a whole replacement of the product. Had a previous bad experience of returning goods online. What I received in return was more damaged one. So don't want to take chances this time also. It will be time consuming too considering the pick up and to be delivered again. Rest of the review will update on product use.
Cons after Product use (6 months).
The blades are too tight and I am not able to change it. Cant loosen with the spatula provided. After few months of use the Jar's rubber has melted and worn out (pics attached). Won't recommend this mixer grinder don't go by the brand. I guess the regular brands available in market are good enough than this brand entering into kitchen appliances.
After 1 year of use.
The replaced rubber by Bosch has again melted. Sick of this",638 people found this helpful
unknown,Good with flaws,4.0 out of 5 stars,Reviewed in India on 1 May 2019,Verified Purchase,"It's been only few days since purchase...the machine is powerful...a bit noisy....the jar for juices and smoothies I don't understand the concept because to get it moving you have to add water..e.g. Orange sweet lime etc..one has to cut them to small pieces or else they won't break down and you will end up drinking hot juice or smoothie as it takes time for large pieces to grind...also getting slight taste of oil residue in drinks ..personal opinion it's a useless feature ...use the jar without the mesh then its of use...good for grinding dry masala..as of now only made coriander powder so cannot comment about cinnamon,black cardamom etc..good for chutneys too.

Compared to other machines previously owned this one is better.

Cannot comment on service but sales representative are themselves not aware of the product they selling as I had purchased another Bosch product so had some queries regarding it which they themselves said that ""they don't have a clue,only passing on information they been asked to say""...hence returned it.",321 people found this helpful
Rohit Singh,Reviewing after 9 months 😊✌️,4.0 out of 5 stars,Reviewed in India on 25 May 2021,Verified Purchase,"I am reviewing this product after thoroughly using it for 9 months. My review will be short, precise and divided into 3 sections, namely : pros, cons & satisfaction levels.

My mother and wife take care of the kitchen at our home. They were in dire need of a heavy-duty mixer grinder for quite sometime. In the past 25 years, we have used Havells (3 models), Philips (2 models), Braun (1 model) & Kitchen-Aid (1 model) ; and barring Kitchen-Aid, Braun is the only one still in use. Well somewhat 😊
So, you can be rest assured that my family really puts in the weight onto the ""Heavy-duty"" & sometimes unjustly so. Keeping that in mind, we bought the Bosch Pro 1000w this time around, with the expectation that it should last the way it says it does.

Pros :

(1) Well Built
(2) Solid plastic quality
(3) Neat & Clean engineering on the inside : what i mean is that wires are neatly tied, are of apt length and thickness. The motor is also quality-built with thick copper wires, and thick enamel coating on the stator/rotor windings. I can't explain a lot here, but since i am an electrical engineer, i hope you take my word for it.
(4) It has a separate pounder blade which Bosch said would pound masalas (gol mirch, saunf, rice (for dosa), sambhar, turmeric sticks, etc) to dust.

And for 8 months straight the machine did the job well. My mother went on to pound sugar too. I cautioned her not to. But she did it anyways. Surprisingly the machine kept on going. Then one fine day, she pounded jaggery dollops into powder as well. And the machine gave up. I have attached the pic of the white plastic groove that became free due to this. Due to Covid-19 lockdown in my district, Bosch took 22 days to replace that white plastic groove.

Cons:

(1) A ₹30/- groove should be available with the local service guy. It should not be imported from Mumbai. That's just poor logistics and poorer decision-making skills. Havells product quality is way poorer than Bosch but their service and spare-part availability is exemplary 1-7 days max & your problem is resolved. Philips is the most pathetic at 60 days minimum for anything.
(2) ""Heavy Duty"" was not ""Heavy-duty"" enough.

Customer Satisfaction :

Bosch. You guys are good. I will give you that. But you have never met anybody like an Indian Customer. Our households will put your claims to test, and they don't see things from an engineering point-of-view. They test it to the point-of-failure. Next time you depict an ad saying ""my pounder blade can pound sticks and gol mirch and what not"", make sure it can pound stones. If you argue, Indians won't fight much. They will simply dump your brand.",157 people found this helpful
ZenGirl,"Heavy duty mixer grinder, delivers what it promises",5.0 out of 5 stars,Reviewed in India on 20 July 2020,Verified Purchase,"Bosch TrueMixx Pro Mixer Grinder 1000 Watt-MGM8842MIN, Black

Review:
I usually do not write reviews, but I felt I had to write this one, because when I was researching which mixer to buy I found really bad reviews that do not do justice to the product. I went with the trust on Bosch brand name and am extremely satisfied with the product. I have been using it daily, sometimes multiple times in a day for past month during lockdown period. I hope this will help others.

Mixer includes +capacity -

1 Mixer body
1 Plastic blender jar 1500ml + fruit filter,
1 Wet grinding jar 1500 ml
1 Dry grinding jar 1000 ml
1 Chutney grinding jar 400 ml
1 extra Pounding Blade
1 Spatula

Build and overall appearance

1. The mixer-grinder 1000 watt motor is extremely powerful.
I have used it to grind both dry & wet ingredients such as
garam masala, idli/dosa mix, Chana dal paste, Poppy seeds paste,
coconut chutney, dry rice and urad dal powder, ginger garlic paste, ice, etc.
I regularly blend and make milk shakes, lassis etc and have found it to very fast and convenient.
2. Does the job fast within few seconds/minutes depending on the amount and type of ingredients you are working with.
3. Body is good looking, sturdy, well balanced and easy to wipe clean.
4. The vacuum feet are quite secure and give a true hands free experience.
5. Overload protector for added safety helps if you overload the mixer by mistake.
6. The jars also are easy to use and quite well-built

Jars & Blades

1. The jars are metal with removable stainless steel blades.
2. Chutney jar blade is fixed.
3. An extra blade is provided for stone pounding affect.
4. A spatula cum blade changer is provided.
5. The Jar lids are made of transparent plastic.
6. Each lid has a small top cap which can be removed to add liquids/materials while grinding/blending.
7. Each lid has rubber gaskets. This gives a completely leak proof experience while grinding/blending. These gaskets are very easy to remove and attach.
8. All Jars have 4 fibre clasps to close the jars.
9. In the blender jar a juicer attachment has been provided – this is the only thing I have not used, hence I cannot review the performance of this attachment.
10. Blender can be used without the juicer sieve, and works fine.
11. In wet blender a flow-breaker is provided

Sound

Sound is high, but that is to be expected in a powerful 1000 watt machine.

Do’s & Don’t

I feel if we follow certain guidelines we can best out of the product

1. Do not overload
2. Do not use for more than a minute without giving a little rest.
3. When turning the speed knobs – don’t turn all at once from 0 to max. You will see that it works better if you turn knobs slowly, staying at each speed for a few seconds. Actually for most things low to medium speed is enough. The machine is really powerful.
4. When grinding large amount of ingredients the jar can heat up ( not the machine) so give a little rest in between.
5. For wet grinding – use cold water to grind – that way the jar will never heat up.
6. DO NOT grind hot ingredients. Many people have complained about the rubber gaskets melting – that can only have happened if hot food are being blended or ground. Bring food to room temp and then grind.
7. Wash the jar, gasket, jars immediately using a sponge and liquid detergent so that the shine of the jar remains intact.
8. Always remove and wash the gasket to avoid unhygienic conditions as food can get under the gaskets.
9. In the wet blender remove the flow breaker by sliding it off and wash it separately as food particles can get stuck behind it.
10. To remove fine particles when dry grinding don’t use a spoon to avoid scratches to the jar. You can use your hand and a brush ( used for this purpose only).
11. This is an expensive piece of equipment – In my house only I & my husband use it. We do not allow children or household help/cooks to use it. This way the machine will not be misused.
12. If you mixer does not work – please check the overload protector button on the underside of the machine. Remove some of the ingredients and try again.
13. Take care while handling jar lids and lid tops – Although they appear quite well made, I cannot say if they will break when dropped.

Pros

1. The machine is very powerful and delivers what it promises
2. It is easy to use and gives truly hands free experience
3. Easy to clean
4. Grinds and blends everything
5. Leak-proof lids.
6. Takes very little time to grind
7. The motor does not heat up even easily
8. The overload protector works perfectly

Cons

1. Guarantee & Manual - The Manual has to be downloaded from the Amazon website
The Amazon payment is the guarantee. There is no separate guarantee card provided. I had to call Amazon to understand the situation regarding the guarantee card.
2. Delivery - The mixer-grinder came in a box but there was no special Styrofoam padding. This was a big minus for me.
3. A couple of extra lid clasps should be provided – one of my lid clasps was loose, it is working fine at the moment, but as a backup company should provide these.
4. As the jars are pretty large, for smaller amount of products it is a little difficult. I wish the smallest chutney jar was usable for both dry & wet grinding rather than only wet.
5. The jars do have screws heads on the inner side – but this is not a big deal – and can be cleaned quite easily.",179 people found this helpful
Praveen,It has become a liability!!!,5.0 out of 5 stars,Reviewed in India on 19 October 2020,Verified Purchase,Video Player is loading.,50 people found this helpful
VP Saxena,Good purchase!,5.0 out of 5 stars,Reviewed in India on 29 June 2019,Verified Purchase,"Liked this mixer grinder a lot! Was a little skeptical after reading the negative reviews, however, decided to give a try. Needed to buy a new mixie anyhow! So why not try Bosch itself!
* No black powder is coming from the gaskets
* Broad bottoms of the jars_ can take all the ground material easily
* Jars are big_ and make is very good
* There is a drainage type cut in the main body so that food leakage can be easily cleaned
* Grinding is real fine
* Noise level is similar to other mixer-grinders_very reasonable for a 1000 W machine
* Bought from Cloudtail _Got the box with transparent plastic cover
* grinding Urad daal batter was very easy!
Great purchase ! Using it for 8 days! Wonderful till now",71 people found this helpful
Kiran,Pathetic Delivery from Cloudtail,1.0 out of 5 stars,Reviewed in India on 4 June 2019,Verified Purchase,"I ordered this mixie from Cloudtail, was utterly shocked when i  received the package. The protective cover was torn, the box was intact but when I opened the box I found that the mixie was opened previously it was dusty clips fallen apart. Protective plastic thoroughly re-used. I suspect it was a display piece which cloudtail happily repacked and just thrust it on unsuspecting buyers. Very unprofessional and unethical of cloudtail to do this.",72 people found this helpful
Arun Singh,Flaw in Quality System followed by Bosch,1.0 out of 5 stars,Reviewed in India on 17 April 2019,Verified Purchase,"As seen in the photos (bottom part-air vent damaged), the product was packed without visual examination - this creates doubt about the efficacy of the quality system being followed by Bosch.",78 people found this helpful
SUMIT KUMAR SHARMA,Perfect example of Great Cry Little Wool,1.0 out of 5 stars,Reviewed in India on 25 August 2019,Verified Purchase,"This mixer doesn't justify it's price. I was very excited after ordering this but when I received I was surprised to see the quality, it was not up to the mark. In fact I doubt whether it's a genuine Bosch product or not.
Quality of plastic and steel in jars are sub standard. One can get such quality in less than half of the price.
As it was mentioned on website that it's a returnable product so, while raising a request to return due to poor quality application took me for customer care assistance and there they denied to return giving the excuse they can only do it in case of technical issue. Though this policy they must have return somewhere inside the terms and conditions so that they can make a fool of customers just like nearby cheap shopkeepers do sometimes.
All in all in my opinion it's not the worth spending more than six and a half thousand rupees. Also, Amazon is loosing it's credibility as well along with BOSCH my brother bought Bosch washing machine and it has a manufacturing defect of front loading door gets jammed and Amazon denied it's replacement at first place after lot of struggling of 25 days he got it replaced and it has also the similar defect and ultimately after lit of hustle got the refund. So my person opinion to everyone please either don't buy BOSCH products or if want go buy then buy it from local market and specifically do not buy it from Amazon.",51 people found this helpful
