Date,Caloric_Intake,Weight,Sleep,Activity,Urination,Defecation
16-Jan,324.00,17.8,10.5,5.0,5.0,1.0
17-Jan,322.00,17.8,4.0,5.0,4.0,0.0
18-Jan,324.00,17.7,7.5,5.0,5.0,1.0
19-Jan,320.00,17.8,9.0,4.0,5.0,1.0
20-Jan,322.00,17.8,13.0,5.0,5.0,1.0
21-Jan,313.00,17.8,12.5,5.0,5.0,1.0
22-Jan,330.00,17.8,5.5,5.0,4.0,1.0
23-Jan,327.00,17.7,3.5,3.0,3.0,0.0
24-Jan,325.00,17.6,10.0,4.0,5.0,1.0
25-Jan,317.00,17.7,8.0,5.0,5.0,1.0
26-Jan,315.00,17.7,4.0,5.0,3.0,1.0
27-Jan,311.00,17.7,11.5,4.0,4.0,0.0
28-Jan,315.00,17.7,12.0,5.0,4.0,1.0
29-Jan,329.00,17.6,5.0,5.0,5.0,0.0
30-Jan,367.00,17.7,6.0,4.0,6.0,1.0
31-Jan,312.00,17.8,7.5,4.0,5.0,1.0
1-Feb,326.00,17.8,5.0,5.0,4.0,0.0
2-Feb,323.00,17.8,4.5,4.0,5.0,1.0
3-Feb,315.00,17.8,12.5,5.0,5.0,1.0
