Index,Metarea,City,State,Region,Latitude,Longitude,HouseElection,Metcode,ParticipantAvg,Duration(Median),Duration(Mean),Frequency,ImmigrantWorkersFreedomRide,NativityForeign,NativityNative(exclusingbothparentsFB),NativityUnknown,NativityBothParentsFB,UnionUnknown,UnionMember,UnionNotMember,NotHispanic,Hispanic,Unemployed,AtWork,Income_median
7,"Birmingham-Hoover, AL",Birmingham,AL,Southeast,33.5207,-86.8025,Republican,1001,3500,2,2,1,1,35,661,0,4,656,4,40,699,1,10,333,26000
41,"Huntsville, AL",Huntsville,AL,Southeast,34.7304,-86.5861,Republican,3440,5000,1,1,1,0,15,232,0,4,226,0,25,243,8,7,116,31000
51,"Little Rock-North Little Rock, AR",Little Rock,AR,Southeast,34.7465,-92.2896,Democratic,4400,3000,1,1,1,1,20,478,1,8,458,1,48,494,13,7,260,26000
69,"Phoenix-Mesa-Scottsdale, AZ",Phoenix,AZ,Southwest,33.448376,-112.074036,Republican,6201,45460,1,1.25,4,1,357,1426,11,202,1882,12,102,1306,690,40,882,30000
101,"Tucson, AZ",Tucson,AZ,Southwest,32.25346,-110.911789,Republican,8520,3900,1,1.666666667,3,1,68,376,2,42,454,0,34,279,209,17,198,23200
91,"Santa Rosa-Petaluma, CA",Santa Rosa,CA,West,38.44466,-122.7203,Democratic,7500,3225,1,1,2,0,31,131,1,11,162,5,7,133,41,3,81,21400
86,"San Francisco-Oakland-Fremont, CA",San Francisco,CA,West,37.773972,-122.431297,Democratic,7365,3594.047619,1,1,11,2,621,969,18,297,1783,17,105,1360,545,53,924,25600
89,"Santa Cruz-Watsonville, CA",Santa Cruz,CA,West,36.974117,-122.030792,Democratic,7481,1312.5,1.5,1.5,4,0,25,57,0,19,91,2,8,66,35,2,56,13600
87,"San Jose-Sunnyvale-Santa Clara, CA",San Jose,CA,West,37.279518,-121.867905,Democratic,7401,62500,1,1,2,0,279,382,1,132,726,14,54,529,265,27,381,32000
81,"Salinas, CA",Salinas,CA,West,36.677738,-121.655502,Democratic,7121,7033.333333,1,1,3,0,57,108,0,36,197,1,3,96,105,9,80,21000
79,"Sacramento-Arden Arcade-Roseville, CA",Sacramento,CA,West,38.575764,-121.478851,Democratic,6921,8666.666667,1,1,3,1,196,609,3,85,847,12,34,642,251,27,394,26000
97,"Stockton, CA",Stockton,CA,West,37.961632,-121.275604,Democratic,8120,6000,1,1,1,0,89,180,4,44,295,12,10,172,145,14,129,24856
54,"Madera, CA",Madera,CA,West,36.95953,-120.062866,Democratic,4700,150,1,1,1,0,41,16,0,11,62,0,6,11,57,3,26,22550
32,"Fresno, CA",Fresno,CA,West,36.746841,-119.772591,Democratic,2840,6800,1,1,4,0,79,245,4,60,367,3,18,246,142,25,140,20400
88,"Santa Barbara-Santa Maria-Goleta, CA",Santa Barbara,CA,West,34.42083,-119.698189,Democratic,7471,15000,1,1,1,0,57,83,0,38,175,0,3,73,105,11,61,15800
104,"Visalia-Porterville, CA",Visalia,CA,West,36.3302,-119.2921,Democratic,8781,150,1,1,2,0,54,93,0,45,184,0,8,86,106,9,64,24000
6,"Bakersfield, CA",Bakersfield,CA,West,35.3733,-119.0187,Democratic,680,3475,1,1,5,0,94,257,0,65,398,4,14,226,190,16,161,25000
52,"Los Angeles-Long Beach-Santa Ana, CA",Los Angeles,CA,West,34.0522,-118.2437,Democratic,4483,33805.55556,1,1.25,9,0,2823,3074,55,1560,7124,50,338,3659,3853,180,3405,22000
76,"Riverside-San Bernadino, CA",Riverside,CA,West,33.95335,-117.396156,Democratic,6780,1200,1,1,6,1,349,977,16,253,1503,11,81,746,849,44,632,25000
85,"San Diego-Carlsbad-San Marcos, CA",San Diego,CA,West,32.715736,-117.161087,Democratic,7321,4900,1,1.666666667,4,0,326,704,9,158,1128,10,59,783,414,18,579,26000
10,"Boulder, CO",Boulder,CO,West,40.015,-105.2705,Republican,2082,150,1,1,1,0,44,273,0,22,318,1,20,270,69,12,153,23126
23,"Denver-Aurora, CO",Denver,CO,West,39.74204,-104.99153,Republican,2083,30500,1,1,4,2,265,1717,7,129,1986,7,125,1590,528,73,1064,36000
19,"Colorado Springs, CO",Colorado Springs,CO,West,38.8339,-104.8214,Republican,1720,1000,1,1,1,0,77,467,9,23,540,1,35,436,140,20,271,33560
11,"Bridgeport-Stamford-Norwalk, CT",Bridgeport,CT,Northeast,41.1792,-73.1894,Republican,1161,3000,1,1,1,0,161,712,12,94,928,9,42,853,126,27,446,34000
62,"New Haven, CT",New Haven,CT,Northeast,41.310726,-72.929916,Republican,5481,2375,1,1,2,1,85,525,6,50,613,9,44,595,71,21,332,37000
38,"Hartford-West Hartford-East Hartford, CT",Hartford,CT,Northeast,41.76371,-72.685097,Republican,3284,1000,1,1,2,1,223,1027,22,149,1321,20,80,1212,209,36,673,35000
105,"Washington, DC/MD/VA",Washington,DC,Northeast,47.751076,-120.740135,Democratic,8840,24044.44444,1,1,5,9,1075,4000,44,378,5110,32,355,4731,766,134,2775,32000
67,"Pensacola-Ferry Pass-Brent, FL",Pensacola,FL,Southeast,30.433283,-87.240372,Republican,6081,1000,1,1,1,0,12,179,3,3,186,1,10,192,5,8,99,20800
92,"Sarasota-Bradenton-Venice, FL",Sarasota,FL,Southeast,27.341274,-82.528267,Republican,7511,100,1,1,1,0,33,213,4,19,254,0,15,234,35,3,130,24000
98,"Tampa-St. Petersburg-Clearwater, FL",Tampa,FL,Southeast,27.964157,-82.452606,Republican,8280,1600,1,1,2,0,211,984,10,82,1198,3,86,1055,232,28,595,23000
30,"Fort Myers-Cape Coral, FL",Fort Myers,FL,Southeast,26.640629,-81.872307,Republican,2700,38000,1,1,2,0,68,164,0,31,246,0,17,198,65,4,116,15000
66,"Orlando, FL",Orlando,FL,Southeast,28.538336,-81.379234,Republican,5960,11000,1,1,2,1,244,680,6,97,935,8,84,749,278,29,502,25000
58,"Miami-Fort Lauderdale-Miami Beach, FL",Miami,FL,Southeast,25.761681,-80.191788,Republican,5001,1946.666667,1,1.1,8,0,1213,1175,9,502,2705,9,185,1641,1258,54,1381,20000
4,"Atlanta-Sandy Springs-Marietta, GA",Atlanta,GA,Southeast,33.749,-84.388,Republican,521,43166.66667,1,1,3,1,271,1525,32,94,1802,7,113,1715,207,47,932,32000
24,"Des Moines, IA",Des Moines,IA,Midwest,41.61955,-93.59802,Republican,2120,5500,1,1,1,1,22,637,2,14,609,11,55,638,37,18,352,36000
8,"Boise City-Nampa, ID",Boise City,ID,West,43.6187,-116.2146,Republican,1081,4000,1,1,1,1,82,873,1,28,918,3,63,835,149,17,462,30000
13,"Champaign-Urbana, IL",Champaign,IL,Midwest,40.1164,-88.2434,Democratic,1401,1000,1,1,1,0,11,98,0,3,101,2,9,112,0,4,51,24252
17,"Chicago-Naperville-Joliet, IL-IN-WI",Chicago,IL,Midwest,41.8781,-87.6298,Democratic,1605,44327.77778,1,1,9,0,897,3909,37,545,5034,67,287,4283,1105,170,2451,30000
